"gene","module"
"brca1","grey"
"brca2","grey"
"palb2","grey"
"pten","blue"
"tp53","grey"
"atm","grey"
"cdh1","grey"
"chek2","blue"
"nbn","grey"
"nf1","grey"
"stk11","grey"
"bard1","blue"
"mlh1","red"
"msh2","green"
"msh6","blue"
"pms2","green"
"epcam","green"
"rad51c","grey"
"rad51d","grey"
"rad50","grey"
"rb1","red"
"rbl1","blue"
"rbl2","grey"
"ccna1","grey"
"ccnb1","blue"
"cdk1","blue"
"ccne1","blue"
"cdk2","blue"
"cdc25a","blue"
"ccnd1","turquoise"
"cdk4","blue"
"cdk6","turquoise"
"ccnd2","brown"
"cdkn2a","blue"
"cdkn2b","yellow"
"myc","grey"
"cdkn1a","grey"
"cdkn1b","green"
"e2f1","grey"
"e2f2","blue"
"e2f3","blue"
"e2f4","turquoise"
"e2f5","blue"
"e2f6","grey"
"e2f7","blue"
"e2f8","blue"
"src","blue"
"jak1","red"
"jak2","brown"
"stat1","grey"
"stat2","grey"
"stat3","red"
"stat5a","grey"
"stat5b","grey"
"mdm2","grey"
"tp53bp1","turquoise"
"adam10","red"
"adam17","grey"
"aph1a","green"
"aph1b","blue"
"arrdc1","grey"
"cir1","green"
"ctbp1","grey"
"ctbp2","grey"
"cul1","grey"
"dll1","yellow"
"dll3","grey"
"dll4","grey"
"dtx1","grey"
"dtx2","grey"
"dtx3","turquoise"
"dtx4","grey"
"ep300","grey"
"fbxw7","grey"
"hdac1","grey"
"hdac2","green"
"hes1","grey"
"hes5","grey"
"heyl","yellow"
"itch","grey"
"jag1","grey"
"jag2","grey"
"kdm5a","grey"
"lfng","turquoise"
"maml1","grey"
"maml2","grey"
"maml3","grey"
"ncor2","grey"
"ncstn","grey"
"notch1","turquoise"
"notch2","grey"
"notch3","grey"
"nrarp","grey"
"numb","grey"
"numbl","grey"
"psen1","red"
"psen2","grey"
"psenen","grey"
"rbpj","grey"
"rbpjl","grey"
"rfng","grey"
"snw1","green"
"spen","grey"
"hes2","grey"
"hes4","grey"
"hes7","grey"
"hey1","grey"
"hey2","grey"
"acvr1","brown"
"acvr1b","turquoise"
"acvr1c","grey"
"acvr2a","brown"
"acvr2b","grey"
"acvrl1","yellow"
"akt1","grey"
"akt1s1","red"
"akt2","grey"
"apaf1","grey"
"arl11","grey"
"atr","grey"
"aurka","blue"
"bad","grey"
"bcl2","turquoise"
"bcl2l1","grey"
"bmp10","grey"
"bmp15","grey"
"bmp2","grey"
"bmp3","grey"
"bmp4","grey"
"bmp5","grey"
"bmp6","grey"
"bmp7","grey"
"bmpr1a","grey"
"bmpr1b","turquoise"
"bmpr2","brown"
"braf","grey"
"casp10","grey"
"casp3","grey"
"casp6","green"
"casp7","grey"
"casp8","red"
"casp9","grey"
"chek1","blue"
"csf1","grey"
"csf1r","brown"
"cxcl8","turquoise"
"cxcr1","grey"
"cxcr2","grey"
"dab2","yellow"
"diras3","grey"
"dlec1","grey"
"dph1","grey"
"egfr","turquoise"
"eif4e","green"
"eif4ebp1","blue"
"eif5a2","red"
"erbb2","grey"
"erbb3","turquoise"
"erbb4","grey"
